id,name,start_date_time
170,7.35b,2023-12-22 00:00:00
169,7.35,2023-12-15 00:00:00
168,7.34e,2023-11-20 00:00:00
167,7.34d,2023-10-06 00:00:00
166,7.34c,2023-09-09 00:00:00
165,7.34b,2023-08-15 00:00:00
164,7.34,2023-08-09 00:00:00
163,7.33e,2023-07-14 00:00:00
162,7.33d,2023-06-16 00:00:00
161,7.33c,2023-05-14 00:00:00
160,7.33b,2023-04-27 00:00:00
159,7.33,2023-04-21 00:00:00
158,7.32e,2023-03-07 00:00:00
157,7.32d,2022-11-29 00:00:00
156,7.32c,2022-09-28 00:00:00
155,7.32b,2022-08-31 00:00:00
154,7.32,2022-08-24 00:00:00
153,7.31d,2022-06-09 00:00:00
152,7.31c,2022-05-05 20:00:00
151,7.31b,2022-03-01 01:30:00
150,7.31,2022-02-23 23:00:21
149,7.30e,2021-10-28 22:00:00
148,7.30d,2021-09-26 03:52:00
147,7.30c,2021-09-11 06:42:00
146,7.30b,2021-08-23 00:00:00
145,7.30,2021-08-18 00:00:00
144,7.29d,2021-05-24 00:00:00
143,7.29c,2021-04-30 00:00:00
142,7.29b,2021-04-16 00:00:00
141,7.29,2021-04-09 18:00:00
140,7.28c,2021-02-19 00:00:00
139,7.28b,2021-01-10 06:30:00
138,7.28a,2020-12-22 00:00:00
137,7.28,2020-12-17 08:00:00
136,7.27d,2020-08-26 00:00:00
135,7.27c,2020-07-17 00:00:00
134,7.27b,2020-07-15 00:00:00
133,7.27a,2020-07-04 00:00:00
132,7.27,2020-06-28 00:00:00
131,7.26c,2020-05-02 22:00:00
130,7.26b,2020-04-28 16:40:00
129,7.26a,2020-04-21 20:00:00
128,7.25c,2020-04-06 00:00:00
127,7.25,2020-03-17 00:00:00
126,7.24b,2020-02-26 00:00:00
125,7.24,2020-01-26 00:00:00
124,7.23f,2020-01-07 00:00:00
123,7.23e,2019-12-14 09:17:00
122,7.23d,2019-12-11 00:00:00
121,7.23c,2019-12-06 14:00:00
120,7.23b,2019-11-29 14:00:00
119,7.23a,2019-11-27 19:00:00
118,7.23,2019-11-26 14:00:00
117,7.22h,2019-09-29 00:00:00
116,7.22g,2019-09-06 00:00:00
115,7.22f,2019-07-28 00:00:00
114,7.22e,2019-07-14 00:00:00
113,7.22d,2019-06-30 00:00:00
112,7.22c,2019-06-09 00:00:00
111,7.22b,2019-05-27 00:00:00
110,7.22,2019-05-24 00:00:00
109,7.21d,2019-03-24 00:00:00
108,7.21c,2019-03-02 00:00:00
107,7.21b,2019-02-16 00:00:00
106,7.21,2019-01-29 18:00:00
105,7.20e,2018-12-09 06:00:00
104,7.20d,2018-11-30 00:00:00
103,7.20c,2018-11-24 18:00:00
102,7.20b,2018-11-20 15:00:00
101,7.20,2018-11-19 15:00:00
100,7.19d,2018-10-12 00:00:00
99,7.19c,2018-09-14 00:00:00
98,7.19b,2018-09-01 00:00:00
97,7.19a,2018-08-25 00:00:00
96,7.19,2018-07-29 00:00:00
95,7.18,2018-06-25 00:00:00
94,7.17,2018-06-10 18:00:00
93,7.16,2018-05-27 00:00:00
92,7.15,2018-05-10 18:00:00
91,7.14,2018-04-26 18:00:00
90,7.13,2018-04-12 18:00:00
89,7.12,2018-03-29 12:00:00
88,7.11,2018-03-15 10:00:00
87,7.10,2018-03-01 20:00:00
86,7.09,2018-02-15 00:00:00
85,7.08,2018-02-01 00:00:00
84,7.07d,2017-12-19 00:00:00
83,7.07c,2017-11-17 00:00:00
82,7.07b,2017-11-05 00:00:00
81,7.07,2017-10-31 15:00:00
80,7.06f,2017-08-20 18:00:00
79,7.06e,2017-07-02 18:00:00
78,7.06d,2017-06-11 18:00:00
77,7.06c,2017-05-29 16:00:00
76,7.06b,2017-05-21 16:00:00
75,7.06,2017-05-15 14:00:00
74,7.05,2017-04-09 15:00:00
73,7.04,2017-03-23 16:00:00
72,7.03,2017-03-15 00:00:00
71,7.02,2017-02-08 00:00:00
70,7.01,2016-12-20 00:00:00
69,7.00,2016-12-12 00:00:00
68,6.88f,2016-10-17 00:00:00
67,6.88e,2016-10-02 00:00:00
66,6.88d,2016-09-02 00:00:00
65,6.88c,2016-08-19 00:00:00
64,6.88b,2016-07-12 00:00:00
63,6.88,2016-06-12 00:00:00
62,6.87d,2016-05-22 00:00:00
61,6.87c,2016-05-07 00:00:00
60,6.87b,2016-04-29 00:00:00
59,6.87,2016-04-25 00:00:00
58,6.86f,2016-02-21 00:00:00
57,6.86e,2016-02-05 00:00:00
56,6.86d,2016-01-20 00:00:00
55,6.86c,2015-12-29 00:00:00
54,6.86b,2015-12-20 00:00:00
53,6.86,2015-12-16 00:00:00
52,6.85b,2015-11-01 00:00:00
51,6.85,2015-09-24 00:00:00
50,6.84c,2015-05-18 00:00:00
49,6.84b,2015-05-09 00:00:00
48,6.84,2015-04-30 00:00:00
47,6.83d,2015-03-09 00:00:00
46,6.83c,2015-02-12 00:00:00
45,6.83b,2015-01-13 00:00:00
44,6.83,2014-12-17 00:00:00
43,6.82c,2014-10-15 00:00:00
42,6.82b,2014-09-28 00:00:00
41,6.82,2014-09-25 00:00:00
40,6.81d,2014-08-09 00:00:00
39,6.81c,2014-08-03 00:00:00
38,6.81b,2014-06-02 00:00:00
37,6.81,2014-04-29 00:00:00
36,6.80c,2014-03-03 00:00:00
35,6.80b,2014-03-02 00:00:00
34,6.80,2014-01-29 00:00:00
33,6.79e,2014-01-12 00:00:00
32,6.79d,2014-01-07 00:00:00
31,6.79c,2013-12-12 00:00:00
30,6.79b,2013-11-27 00:00:00
29,6.79,2013-10-21 00:00:00
28,6.78c,2013-07-03 00:00:00
27,6.78b,2013-06-03 00:00:00
26,6.78,2013-06-04 00:00:00
25,6.77c,2013-03-21 00:00:00
24,6.77b,2013-01-15 00:00:00
23,6.77,2012-12-19 00:00:00
22,6.76c,2012-10-29 00:00:00
21,6.76b,2012-10-25 00:00:00
20,6.76,2012-10-25 00:00:00
19,6.75b,2012-10-02 00:00:00
18,6.75,2012-10-04 00:00:00
17,6.74c,2012-03-21 00:00:00
16,6.74b,2012-03-20 00:00:00
15,6.74,2012-03-15 00:00:00
14,6.73c,2012-01-10 00:00:00
13,6.73b,2011-12-28 00:00:00
12,6.73,2012-01-12 00:00:00
11,6.72f,2011-07-22 00:00:00
10,6.72e,2011-07-18 00:00:00
9,6.72d,2011-07-16 00:00:00
8,6.72c,2011-06-03 00:00:00
7,6.72b,2011-05-04 00:00:00
6,6.72,2011-04-27 00:00:00
5,6.71b,2011-01-23 00:00:00
4,6.71,2011-01-21 00:00:00
3,6.70c,2010-12-30 00:00:00
2,6.70b,2010-12-28 00:00:00
1,6.70,2011-01-18 00:00:00
